Año;Vuelta;Candidato;Partido;Coalicion;Ideologia
1989;0;Hernan Buchi;Independiente;Democracia y Progreso;Derecha
1989;0;Francisco Errazuriz;Independiente;Independiente;N
1989;0;Patricio Ailwyn;DC;Concertacion;Izquierda
1993;0;Manfred Max;Movimiento Ecologista;X;Izquierda
1993;0;Eugenio Pizarro;Independiente;Alternativa Democratica de Izquierda Allendista;Izquierda
1993;0;Eduardo Frei;DC;Concertacion;Izquierda
1993;0;Cristian Reitze;Independiente;Alianza Humanista Verde;Izquierda
1993;0;Arturo Alessandri;Independiente;Union por el Progreso de Chile;Derecha
1993;0;Jose Piñera;Independiente;X;Derecha
1999;1;Arturo Frei;Independiente;Alianza Popular;Derecha
1999;1;Sara Larrain;Independiente;Independiente;N
1999;1;Gladys Marin;PC;La Izquierda;Izquierda
1999;1;Ricardo Lagos;PPD;Concertacion;Izquierda
1999;1;Tomas Hirsch;PH;Alianza Humanista Verde;Izquierda
1999;1;Joaquín Lavin;UDI;Alianza;Derecha
1999;2;Ricardo Lagos;PPD;Concertacion;Izquierda
1999;2;Joaquín Lavin;UDI;Alianza;Derecha
2005;1;Sebastian Piñera;RN;Alianza;Derecha
2005;1;Michelle Bachelet;PS;Concertacion;Izquierda
2005;1;Tomas Hirsch;PH;Juntos Podemos Mas;Izquierda
2005;1;Joaquín Lavin;UDI;Alianza;Derecha
2005;2;Michelle Bachelet;PS;Concertacion;Izquierda
2005;2;Sebastian Piñera;RN;Alianza;Derecha
2009;1;Eduardo Frei;DC;Concertacion;Izquierda
2009;1;Sebastian Piñera;RN;Coalicion por el Cambio;Derecha
2009;1;MEO;Independiente;Nueva Mayoria Para Chile;Izquierda
2009;1;Jorge Arrate;PC;Juntos Podemos Mas;Izquierda
2009;2;Sebastian Piñera;RN;Coalicion por el Cambio;Derecha
2009;2;Eduardo Frei;DC;Concertacion;Derecha
2013;1;Michelle Bachelet;PS;Nueva Mayoria;Izquierda
2013;1;MEO;PRO;Si tu quieres Chile cambia;Izquierda
2013;1;Evelyn Matthei;UDI;Alianza;Derecha
2013;1;Franco Parisi;Independiente;X;N
2013;1;Marcel Claude;PH;Todos a La Moneda;Izquierda
2013;1;Alfredo Sfeir;PEV;X;N
2013;1;Roxana Miranda;IGUAL;X;N
2013;1;Ricardo Israel;PRI;X;N
2013;1;Tomas Jocelyn-Holt;Independiente;X;N
2013;2;Michelle Bachelet;PS;Nueva Mayoria;Izquierda
2013;2;Evelyn Matthei;UDI;Alianza;Derecha
2017;1;Sebastian Piñera;RN;Chile Vamos;Derecha
2017;1;Alejandro Guillier;Independiente;La Fuerza de la Mayoria;Izquierda
2017;1;Beatriz Sanchez;Independiente;Frente Amplio;Izquierda
2017;1;JAK;Independiente;X;Derecha
2017;1;Carolina Goic;DC;X;Izquierda
2017;1;MEO;PRO;X;Izquierda
2017;1;Eduardo Artes;UPA;X;Izquierda
2017;1;Alejandro Navarro;Pais;X;Izquierda
2017;2;Sebastian Piñera;RN;Chile Vamos;Derecha
2017;2;Alejandro Guillier;Independiente;La Fuerza de la Mayoria;Izquierda
2021;1;JAK;Republicano;Frente Social Cristiano;Derecha
2021;1;Franco Parisi;PDG;X;N
2021;1;Yasna Provoste;DC;Nuevo Pacto Social;Izquierda
2021;1;Sebastian Sichel;Independiente;Chile Podemos Más;Derecha
2021;1;MEO;PRO;X;Izquierda
2021;1;Eduardo Artes;UPA;X;Izquierda
2021;1;Gabriel Boric;CS;Apruebo Dignidad;Izquierda
2021;2;JAK;Republicano;Frente Social Cristiano;Derecha
2021;2;Gabriel Boric;CS;Apruebo Dignidad;Izquierda
2025;1;Harold Mayne-Nicholls;Independiente;X;N
2025;1;Franco Parisi;PDG;X;N
2025;1;MEO;Independiente;X;Izquierda
2025;1;Eduardo Artes;Independiente;X;Izquierda
2025;1;JAK;Republicano;Cambio por Chile;Derecha
2025;1;Jeannette Jara;PC;Unidad por Chile;Izquierda
2025;1;Johannes Kaiser;PNL;X;Derecha
2025;1;Evelyn Matthei;UDI;Chile Grande y Unido;Derecha
2025;2;JAK;Republicano;Cambio por Chile;Derecha
2025;2;Jeannette Jara;PC;Unidad por Chile;Izquierda
