Candidatos;Año;Tarapacá;Arica y Parinacota;Antofagasta;Atacama;Coquimbo;Valparaíso;RM;O´Higgins;Maule;Ñuble;Biobío;Araucanía;Los Ríos ;Los Lagos;Aysén;Magallanes;Total ;Blancos de la votación;Nulos de la votación
Hernán Buchi;1989;52293;N/A;52023;33856;75795;219152;874649;109155;125695;N/A;223677;112964;N/A;137360;11556;23941;2052116;75237;103631
Francisco Errazuriz;1989;31224;N/A;36710;10094;30020;139505;350210;43072;63944;N/A;168792;95654;N/A;94466;5319;8162;1077172;;
Patricio Aylwin;1989;82387;N/A;120679;67803;141318;398096;1569524;215945;251809;N/A;505439;186200;N/A;242071;20390;48910;3850571;;
Manfred Neff;1993;7472;N/A;13476;5230;10129;44954;176288;16787;15440;N/A;55454;14516;N/A;22088;1406;4131;774742;273900;542778
Eugenio Pizarro;1993;9985;N/A;14966;10037;16673;35203;127042;17718;17377;N/A;43163;12244;N/A;18210;1870;2916;654808;;
Eduardo Frei;1993;88450;N/A;112670;66058;154883;427094;1582034;237272;270497;N/A;541600;224961;N/A;270766;21608;46219;8088224;;
Cristian Reitze;1993;1437;N/A;2015;1087;2807;7105;25320;4620;7429;N/A;13973;7815;N/A;6895;521;790;163628;;
Arturo Alessandri;1993;45856;N/A;45392;25009;52912;195139;642059;86083;115648;N/A;201650;120473;N/A;143316;12692;16841;3406140;;
José Piñera;1993;13353;N/A;14203;5769;13985;59290;203953;18791;16929;N/A;43767;16335;N/A;18165;1513;5123;862352;;
Arturo Frei;1999;468;N/A;608;273;1026;2731;7756;1483;1850;N/A;5583;2047;N/A;2514;217;256;53624;113982;318930
Sara Larrain;1999;564;N/A;671;386;1297;3389;10805;1875;2434;N/A;4957;2151;N/A;2344;198;248;62638;;
Gladys Marín;1999;6893;N/A;8140;5037;9230;28493;99063;10584;9472;N/A;29932;6679;N/A;9039;914;1748;450448;;
Tomás Hirsch;1999;1042;N/A;1093;492;1249;4028;14953;1847;1981;N/A;4957;1962;N/A;2076;191;364;72470;;
Ricardo Lagos;1999;78617;N/A;107504;62244;148558;344053;1323235;191058;225304;N/A;463597;161045;N/A;219150;18805;40164;6766668;;
Joaquín Lavin;1999;83985;N/A;80527;42578;100985;397017;1315042;185452;210768;N/A;402291;225279;N/A;256369;20609;31290;6704384;;
Ricardo Lagos;1999.1;85792;N/A;116008;67745;161302;380521;1435510;207900;240825;N/A;510035;177776;N/A;238745;19726;41273;3683158;44675;103351
Joaquín Lavin;1999.1;87766;N/A;83831;45498;107352;413553;1362164;191507;222062;N/A;424453;235959;N/A;267387;21659;32378;3495569;;
Sebastián Piñera;2005;39611;N/A;40696;24088;62390;214534;648498;101700;112919;N/A;221109;133268;N/A;137890;11852;15139;1763694;84752;180485
Michelle Bachelet;2005;76876;N/A;104268;58186;137633;332699;1223209;187129;210440;N/A;429656;158375;N/A;217023;19699;35498;3190691;;
Tomás Hirsch;2005;11759;N/A;11389;7272;13700;46964;170603;17274;17065;N/A;40766;14382;N/A;19051;1777;3046;375048;;
Joaquín Lavin;2005;45156;N/A;38342;20458;50065;177414;640538;85451;110188;N/A;208037;94573;N/A;119185;7539;15662;1612608;;
Sebastián Piñera;2005.1;84901;N/A;73399;43878;108237;384079;1227659;179748;213422;N/A;405756;220961;N/A;247621;19096;27637;3236394;47960;154972
Michelle Bachelet;2005.1;86120;N/A;115979;66055;158908;389696;1440948;215648;245161;N/A;505098;187262;N/A;252880;21172;38092;3723019;;
Jorge Arrate;2009;6596;4304;13965;8026;17094;56198;200413;19168;18650;N/A;43434;16363;7968;14566;2125;4325;866390;172344;400840
ME-O;2009;27908;17953;52462;29856;52060;174581;571664;68572;70746;N/A;177588;56852;27325;52147;7644;17766;2810248;;
Piñera;2009;46594;34513;71001;39870;99199;353016;1185151;169650;187178;N/A;383617;209018;77980;165208;21655;30514;6148328;;
Frei;2009;15939;21307;52087;31999;98370;199554;722154;141532;177840;N/A;296961;122106;55500;102250;10879;16583;4130122;;
Sebastián Piñera;2009.1;56710;40424;86774;50872;119266;419803;1369979;197607;217366;N/A;457669;237496;89489;188623;24171;34933;7182364;109818;378980
Eduardo Frei;2009.1;36823;36659;94656;58093;149579;362431;1274466;203131;245715;N/A;454974;175802;80564;148649;17148;29100;6735580;;
c1;2013;16734;14347;37782;12950;24313;81024;200585;35039;39768;N/A;111115;36447;15439;27297;4911;8264;;;
c2;2013;3120;1510;4775;2609;5276;27264;87845;7466;5816;N/A;18078;6890;4548;7597;814;1464;;;
c3;2013;335;322;980;367;1088;4131;15671;1710;1898;N/A;5649;2706;846;1626;158;257;;;
c4;2013;11204;7240;23612;10741;23268;75035;375279;31402;31577;N/A;67430;25014;10132;21854;2284;7470;;;
c5;2013;1339;864;1967;1271;2491;8555;38547;3263;3706;N/A;9887;4055;1663;3043;506;716;;;
c6;2013;31163;29374;69261;50354;142238;317345;1088451;190839;243613;N/A;424899;189184;84819;163589;19227;31483;;;
c7;2013;19876;15345;33291;17971;52381;178217;719487;84185;96727;N/A;184180;111776;38044;77195;507;11136;;;
c8;2013;1295;1026;2475;1171;3596;19858;87862;5494;5520;N/A;13370;4492;2801;4272;8670;909;;;
c9;2013;111;89;203;180;421;1172;4519;824;1215;N/A;1871;989;337;504;49;110;;;
Evelyn Matthei;2013.1;27626;21430;47071;24046;64948;234838;901653;107194;122989;N/A;254487;138027;46871;94981;10638;15092;2111891;32565;82916
Michelle Bachelet;2013.1;36343;32984;81241;55119;155340;366502;1297597;209873;257831;N/A;464898;196492;89002;172232;20924;34001;3470379;;
 CAROLINA GOIC ;2017;3462;2935;6805;3673;16207;37078;149742;22564;26640;N/A;49611;24065;10078;23148;3333;7057;387784;;
JOSÉ ANTONIO KAST;2017;8800;8302;14365;4003;11638;52963;181621;19829;30941;N/A;88597;46355;15806;30220;2892;5813;523375;;
Sebastián Piñera;2017;35098;21597;61089;41129;93685;247550;976303;138709;160268;N/A;295920;151935;54166;105419;12719;15730;2418540;;
 ALEJANDRO GUILLIER;2017;20321;18644;43591;26440;68663;151292;590687;81673;97554;N/A;178440;76392;40280;72752;10671;14073;1498040;;
BEATRIZ SANCHEZ;2017;20519;17151;39070;18462;47828;185007;615307;63654;60080;N/A;126774;45878;24221;48881;5861;13757;1338037;;
ME-O;2017;6365;4671;11961;5070;13134;37171;168643;19184;23367;N/A;41387;18133;6923;15087;1622;3444;376871;38543;64504
EDUARDO ARTÉS;2017;425;260;731;508;1286;3629;14693;1598;1973;N/A;3852;1671;791;1578;189;259;33665;;
ALEJANDRO NAVARRO;2017;237;324;448;280;747;1556;5898;942;1295;N/A;8958;1375;493;1029;129;118;23968;;
Sebastián Piñera;2017.1;54379;35546;97095;56618;134683;387231;1497236;212232;253207;N/A;505103;251855;86865;172359;18185;26047;3796918;18892;56440
Alejandro Guiller;2017.1;38106;34950;83298;45310;129443;354317;1319878;166227;188625;N/A;357910;151771;75715;149226;19512;33580;3160628;;
Gabriel Boric;2021;19975;15077;41487;20418;68203;223384;892593;87861;78918;31702;117325;65297;36980;66520;9975;21136;3630048;60986;110960
José Antonio Kast;2021;33273;25120;42299;19017;56998;211904;721457;92349;127027;69937;199475;166017;52919;105763;11761;19291;3923558;;
Yasna Provoste;2021;9441;8423;17542;27501;35992;81855;294990;48274;56257;28358;72905;48731;21780;47930;6574;6854;1631126;;
Sebastián Sichel;2021;8354;6194;14729;7097;27404;95658;440052;50330;54919;24616;63009;40957;16287;35552;3921;5759;1797270;;
Eduardo Artés;2021;1343;983;2551;1309;3735;13223;51045;4063;3756;1699;7213;4069;2044;4013;508;655;205794;;
ME-O;2021;6874;4703;14395;5295;18795;63842;256723;28306;27453;10491;39976;21824;8681;17539;2017;6640;1068766;;
Franco Parisi;2021;29906;24296;68473;25443;52426;103996;220716;52409;55047;24162;112004;46934;20932;48430;5153;8740;1800128;;
Gabriel Boric;2021.1;55477;44236;128009;76194;199259;544874;2063981;251585;240115;96835;350671;184417;95290;191931;25870;47835;9242462;47944;137232
José Antonio Kast;2021.1;58485;43173;86097;40235;115610;374058;1357326;187217;250421;136784;377474;278293;93514;191591;20111;30217;7301324;;
Franco Parisi;2025;64165;41996;138278;65949;149396;271022;712720;159709;183607;86747;294839;154474;61322;140907;11557;19170;5115474;283978;722806
Jeannette Jara;2025;45297;34346;92110;53457;153843;410666;1556040;178477;179029;74512;259422;147282;73871;142719;19040;33616;6966980;;
ME-O;2025;2225;1735;4465;2339;6695;18191;62419;9063;9159;3966;12717;8191;3177;6848;802;2177;309396;;
Johannes Kaiser;2025;30010;27284;51556;26593;76985;214143;642526;101129;113150;59269;155910;115519;47386;104352;14140;19739;3616868;;
José Antonio Kast;2025;46609;33064;71074;38009;106700;281859;1090443;186243;253046;123894;318432;244577;81293;174962;16069;27426;6208916;;
Eduardo Artés;2025;1116;874;2106;1103;3271;9677;37888;3843;3710;2006;7458;4662;2057;3943;458;695;170784;;
Evelyn Matthei;2025;14310;10105;29443;12770;56437;165236;821876;82768;79690;38066;114016;69011;30042;64453;7018;11784;3235440;;
Harold Mayne-Nichols;2025;2359;1452;5475;2004;6289;19315;72883;8185;7715;3424;12469;7386;3473;7288;719;1768;326210;;
Jeannette Jara;2025.1;73799;53450;157620;86441;243829;612913;2260954;277058;272609;114489;405947;226252;108949;216347;27294;50253;10445116;330688;1567632
José Antonio Kast;2025.1;120980;90490;207249;103578;288093;724523;2571728;424709;531076;265400;716795;501789;183630;406393;40826;62145;14526472;;
