Año,Vuelta,Candidato,Partido,Coalición,Polarización vuelta 1,Polarización vuelta 2,Polarización total
1989,0,Hernán Büchi,Independiente,Democracia y Progreso,,,3
1989,0,Francisco Errázuriz,Independiente,Independiente,,,
1989,0,Patricio Aylwin,DC,Concertación,,,
1993,0,Manfred Max-Neef,Movimiento Ecologista,X,,,2
1993,0,Eugenio Pizarro,Independiente,Alternativa Democrática de Izquierda Allendista,,,
1993,0,Eduardo Frei,DC,Concertación,,,
1993,0,Cristián Reitze,,Alianza Humanista Verde,,,
1993,0,Arturo Alessandri,,Unión por el Progreso de Chile,,,
1993,0,José Piñera,Independiente,X,,,
1999,1,Arturo Frei,Independiente,Alianza Popular,3,3,3
1999,1,Sara Larraín,Independiente,Independiente,,,
1999,1,Gladys Marín,PC,La Izquierda,,,
1999,1,Ricardo Lagos,PPD,Concertación,,,
1999,1,Tomás Hirsch,PH,Alianza Humanista Verde,,,
1999,1,Joaquín Lavín,UDI,Alianza,,,
1999,2,Ricardo Lagos,PPD,Concertación,,,
1999,2,Joaquín Lavín,UDI,Alianza,,,
2005,1,Sebastián Piñera,RN,Alianza,3,3,3
2005,1,Michelle Bachelet,PS,Concertación,,,
2005,1,Tomás Hirsch,PH,Juntos Podemos Más,,,
2005,1,Joaquín Lavín,UDI,Alianza,,,
2005,2,Michelle Bachelet,PS,Concertación,,,
2005,2,Sebastián Piñera,RN,Alianza,,,
2009,1,Eduardo Frei,DC,Concertación,3,2,2.5
2009,1,Sebastián Piñera,RN,Coalición por el Cambio,,,
2009,1,MEO,Independiente,Nueva Mayoría para Chile,,,
2009,1,Jorge Arrate,PC,Juntos Podemos Más,,,
2009,2,Sebastián Piñera,RN,Coalición por el Cambio,,,
2009,2,Eduardo Frei,DC,Concertación,,,
2013,1,Michelle Bachelet,PS,Nueva Mayoría,3,3,3
2013,1,MEO,PRO,"Si tú quieres, Chile cambia",,,
2013,1,Evelyn Matthei,UDI,Alianza,,,
2013,1,Franco Parisi,Independiente,X,,,
2013,1,Marcel Claude,PH,Todos a La Moneda,,,
2013,1,Alfredo Sfeir,PEV,X,,,
2013,1,Roxana Miranda,IGUAL,X,,,
2013,1,Ricardo Israel,PRI,X,,,
2013,1,Tomás Jocelyn-Holt,Independiente,X,,,
2013,2,Michelle Bachelet,PS,Nueva Mayoría,,,
2013,2,Evelyn Matthei,UDI,Alianza,,,
2017,1,Sebastián Piñera,RN,Chile Vamos,4,3,3.5
2017,1,Alejandro Guillier,Independiente,La Fuerza de la Mayoría,,,
2017,1,Beatriz Sánchez,Independiente,Frente Amplio,,,
2017,1,José Antonio Kast,Independiente,X,,,
2017,1,Carolina Goic,DC,X,,,
2017,1,MEO,PRO,X,,,
2017,1,Eduardo Artés,UPA,X,,,
2017,1,Alejandro Navarro,PAÍS,X,,,
2017,2,Sebastián Piñera,RN,Chile Vamos,,,
2017,2,Alejandro Guillier,Independiente,La Fuerza de la Mayoría,,,
2021,1,José Antonio Kast,Republicano,Frente Social Cristiano,4,5,4.5
2021,1,Franco Parisi,PDG,X,,,
2021,1,Yasna Provoste,DC,Nuevo Pacto Social,,,
2021,1,Sebastián Sichel,Independiente,Chile Podemos Más,,,
2021,1,MEO,PRO,X,,,
2021,1,Eduardo Artés,UPA,X,,,
2021,1,Gabriel Boric,CS,Apruebo Dignidad,,,
2021,2,José Antonio Kast,Republicano,Frente Social Cristiano,,,
2021,2,Gabriel Boric,CS,Apruebo Dignidad,,,
2025,1,Harold Mayne-Nicholls,Independiente,X,4,5,4.5
2025,1,Franco Parisi,PDG,X,,,
2025,1,MEO,Independiente,X,,,
2025,1,Eduardo Artés,Independiente,X,,,
2025,1,José Antonio Kast,Republicano,Cambio por Chile,,,
2025,1,Jeannette Jara,PC,Unidad por Chile,,,
2025,1,Johannes Kaiser,PNL,X,,,
2025,1,Evelyn Matthei,UDI,Chile Grande y Unido,,,
2025,2,José Antonio Kast,Republicano,Cambio por Chile,,,
2025,2,Jeannette Jara,PC,Unidad por Chile,,,
